Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.003333,10,60,263,8,0.003051758,0,110889814,211965891,401972,215000,0
2.019999,17,60,1030,8,0.006286621,0,110894400,211999203,402041,215061,0
3.019998,33,60,1843,8,0.009277344,0,110899367,212059882,402126,215127,0
4.036664,39,60,2495,8,0.01159668,0,110904310,212141107,402244,215197,0
5.036677,53,60,3446,8,0.01885986,0,110909290,212254407,402427,215265,0
6.036691,65,60,3964,8,0.02227783,0,110914260,212384661,402638,215334,0
7.036704,71,60,4843,8,0.02941895,0,110919310,212543271,402915,215406,0
8.036716,82,60,5617,8,0.03448486,0,110924318,212728170,403226,215476,0
9.020043,90,60,6233,8,0.03955078,0,110928484,212933673,403584,215537,0
10.03671,108,60,7249,8,0.0447998,1,110932917,213172819,403990,215604,0
11.0367,126,60,8589,8,0.05706787,0,110937587,213455796,404488,215670,0
12.05335,132,60,9434,8,0.06732178,0,110942183,213766035,405056,215740,0
13.03668,146,60,10269,8,0.08209229,0,110946455,214104369,405667,215804,0
14.05333,141,60,10997,8,0.0949707,0,110951375,214465876,406322,215873,0
15.05332,197,60,14226,8,0.1032104,1,110956395,214936526,407156,215953,0
16.0533,184,60,13761,8,0.1394653,2,110961673,215389024,407980,216032,0
17.05329,199,60,14171,8,0.1676025,2,110966591,215855390,408837,216108,0
18.05327,213,60,14655,8,0.1717529,2,110971750,216338027,409722,216182,0
19.05326,229,60,15943,8,0.1983643,1,110976686,216863129,410695,216254,0
20.05324,222,60,16346,8,0.2177734,1,110981916,217400483,411677,216328,0
21.03656,249,60,17406,8,0.2460938,1,110986939,217973509,412739,216399,0
22.05321,254,60,18778,8,0.2402344,1,110992094,218591750,413887,216470,0
23.0532,260,60,19732,8,0.2410278,0,110997101,219241157,415085,216545,0
24.05318,273,60,19472,8,0.2572021,0,111001633,219882268,416285,216617,0
25.0365,296,60,25282,8,0.2929077,2,111006889,220715868,417832,216701,0
26.05315,296,60,25627,8,0.3226929,3,111011388,221560030,419387,216769,0
27.03647,333,60,27639,8,0.3711548,3,111016161,222472125,421100,216845,0
28.05312,321,60,22588,8,0.3894043,2,111020991,223216029,422491,216913,0
29.06977,320,60,23028,8,0.4072266,2,111025292,223973904,423911,216982,0
30.06976,343,60,25180,8,0.4517822,2,111030001,224803520,425455,217056,0
31.06974,328,60,27280,8,0.4429932,2,111034816,225701096,427132,217126,0
32.05306,351,59,24505,8,0.4849243,2,111038331,226509618,428634,217184,0
33.06971,369,60,26068,8,0.4264526,2,111042733,227368931,430229,217255,0
34.0697,361,60,26941,8,0.494873,2,111046910,228255795,431887,217322,0
35.06968,364,60,27525,8,0.5142822,2,111051266,229161765,433580,217398,0
36.06967,381,60,27238,8,0.5635986,2,111055562,230059600,435272,217471,0
37.08632,409,60,28195,8,0.5537109,1,111059928,230989380,437022,217542,0
38.06964,393,60,30427,8,0.5548096,0,111064892,231991172,438903,217606,0
39.06962,446,60,36380,8,0.619751,1,111069052,233191284,441136,217676,0
40.06961,453,60,41016,8,0.6672363,3,111073242,234543201,443648,217744,0
41.08626,434,60,35733,8,0.6627197,2,111077715,235719462,445850,217814,0
42.08624,454,60,34067,8,0.6710205,2,111081767,236842086,447946,217881,0
43.10289,456,60,35855,8,0.7270508,1,111086290,238022876,450160,217952,0
44.08621,459,60,34118,8,0.7208252,1,111090679,239146782,452264,218022,0
45.10286,441,60,30706,8,0.75,1,111095390,240157221,454167,218086,0
46.08618,468,60,35978,8,0.7058105,0,111099675,241342667,456386,218152,0
47.10283,449,60,33451,8,0.7163086,0,111104030,242443466,458455,218222,0
48.10282,498,60,42642,8,0.8041992,1,111108550,243849402,461077,218295,0
49.1028,483,60,34866,8,0.8395996,0,111112866,244997732,463235,218365,0
50.10279,471,60,37054,8,0.793335,0,111117332,246216982,465526,218434,0
51.10277,510,60,38158,8,0.8054199,0,111121833,247475335,467888,218509,0
52.11942,494,60,35407,8,0.8786621,0,111125966,248641147,470082,218579,0
53.11941,543,60,45406,8,0.9295654,1,111130319,250124433,472862,218650,0
54.11939,532,57,42371,8,0.9642334,1,111134541,251533951,475507,218720,0
55.15271,548,56,42027,8,0.9836426,1,111138849,252906417,478079,218786,0
56.15269,560,55,46074,8,0.9875488,2,111143267,254423800,480913,218854,0
57.15268,593,51,45258,8,0.9935303,2,111147401,255909709,483699,218924,0
58.15266,605,49,44830,8,1.010376,3,111151588,257388805,486480,218991,0
59.20265,612,48,40849,8,1.010254,2,111155988,258735496,489021,219061,0
60.20263,632,45,42147,8,1.018433,3,111160409,260124542,491633,219135,0
61.20262,670,41,37027,8,1.001099,3,111164805,261344649,493933,219209,0
62.21927,648,42,41291,8,0.9974365,2,111168838,262706495,496496,219279,0
63.25259,657,43,41925,8,1.006836,3,111172844,264089308,499088,219345,0
64.25258,732,44,48336,8,1.01062,2,111176248,265689578,502092,219408,0
65.26932,713,43,43817,8,1.012939,3,111179782,267131402,504799,219476,0
66.28604,718,42,42965,8,1.00293,4,111183511,268548371,507460,219537,0
67.30278,740,43,45272,8,1.021362,3,111187068,270044126,510265,219598,0
68.30285,746,37,41157,8,1.001099,4,111190659,271401008,512816,219663,0
69.3196,759,37,43823,8,1.002441,4,111194402,272846810,515525,219729,0
70.353,762,35,40032,8,1.025879,3,111198416,274175605,518028,219801,0
71.36975,775,33,37709,8,1.004395,4,111202537,275411470,520360,219866,0
72.35317,801,29,38022,8,0.9938965,2,111206309,276668280,522714,219932,0
73.36995,785,27,35743,8,1.00647,2,111210646,277848496,524923,220008,0
74.4034,829,27,35924,8,1.01416,1,111215253,279030566,527137,220085,0
75.38686,800,26,36462,8,0.9953613,1,111219710,280240385,529413,220157,0
76.38697,819,26,35882,8,0.9991455,0,111223987,281420982,531629,220227,0
77.40376,855,25,32037,8,1.000366,1,111228661,282478742,533619,220301,0
78.40388,852,25,35666,8,1.001953,1,111233136,283656909,535830,220376,0
79.42068,832,25,35436,8,1.015381,1,111237637,284823150,538018,220451,0
80.45415,885,24,33113,8,1.01355,1,111242318,285917410,540083,220526,0
81.47096,875,23,31926,8,1.017944,1,111247018,286969940,542062,220602,0
82.50443,867,23,34581,8,1.027832,1,111251751,288114994,544213,220676,0
83.52123,887,23,34641,8,1.02063,1,111256266,289261730,546374,220746,0
84.5547,902,22,33406,8,1.035889,2,111260823,290367396,548456,220818,0
85.55483,947,21,32430,8,1.008667,1,111265216,291436539,550463,220887,0
86.58832,931,20,33522,8,1.015259,1,111270091,292542773,552545,220953,0
87.60512,916,20,32765,8,1.008911,1,111274680,293621109,554570,221019,0
88.60526,951,19,32853,8,0.9976807,1,111279203,294707156,556600,221091,0
89.62205,945,19,32438,8,1.024048,1,111283633,295777481,558612,221160,0
