Time,EntityCount,Frames,Events,SystemCount,SystemRunTime,RemotePeerPing,BytesReceived,BytesSent,PacketsSent,PacketsReceived,PacketLossPercent
1.03568,11,60,316,8,0.004394531,0,250404636,613046352,1158725,495467,0
2.035793,18,60,1146,8,0.006591797,1,250409438,613083396,1158795,495530,0
3.035861,33,60,1897,8,0.009765625,1,250414295,613145729,1158878,495594,0
4.052647,38,60,2399,8,0.01123047,1,250419265,613223700,1158980,495657,0
5.052741,50,60,3306,8,0.01464844,2,250424165,613332429,1159164,495722,0
6.05284,68,60,4332,8,0.02294922,1,250429208,613475243,1159384,495789,0
7.052921,83,60,6120,8,0.03442383,2,250434067,613676888,1159736,495854,0
8.053024,93,60,6550,8,0.05297852,2,250438972,613891938,1160101,495918,0
9.053104,106,60,7180,8,0.04931641,2,250443907,614127769,1160511,495981,0
10.05318,121,60,8450,8,0.05908203,2,250448972,614405843,1160985,496048,0
11.05328,134,60,9093,8,0.07177734,2,250454036,614704856,1161526,496113,0
12.07005,144,60,10290,8,0.08007813,2,250459415,615043390,1162132,496184,0
13.0535,161,60,11119,8,0.09130859,2,250464679,615409728,1162805,496251,0
14.05356,178,60,12983,8,0.1154785,3,250469728,615837319,1163596,496318,0
15.07035,187,60,13163,8,0.1225586,3,250475112,616270394,1164391,496390,0
16.07042,194,60,14304,8,0.1352539,3,250480443,616741195,1165250,496456,0
17.07051,220,60,17815,8,0.1486816,3,250485626,617328582,1166322,496525,0
18.07059,252,60,20001,8,0.1923828,3,250491075,617988454,1167530,496596,0
19.054,282,60,22456,8,0.2421875,3,250496186,618729127,1168911,496666,0
20.07084,270,60,19866,8,0.2478027,3,250501820,619382760,1170136,496737,0
21.07085,298,60,20854,8,0.2766113,2,250506934,620069860,1171410,496806,0
22.07096,304,60,22264,8,0.326416,3,250512202,620803021,1172776,496881,0
23.07107,322,60,27307,8,0.328125,3,250517499,621702497,1174432,496947,0
24.07117,337,60,23859,8,0.3649902,3,250522757,622488225,1175903,497019,0
25.07129,351,60,26124,8,0.4140625,3,250528248,623348587,1177516,497089,0
26.07134,357,60,26952,8,0.4438477,3,250533491,624235974,1179167,497164,0
27.0881,373,60,27838,8,0.4472656,3,250539479,625152651,1180895,497239,0
28.08815,375,60,27527,8,0.4633789,2,250544954,626059085,1182596,497308,0
29.08828,410,60,34026,8,0.5380859,3,250550169,627180591,1184694,497382,0
30.08839,423,60,30503,8,0.5817871,3,250555505,628185796,1186585,497454,0
31.08847,431,60,31617,8,0.6274414,3,250561059,629227283,1188538,497527,0
32.08855,432,60,31797,8,0.6340332,3,250566276,630273773,1190488,497597,0
33.08864,453,60,32228,8,0.6567383,3,250571813,631335318,1192484,497669,0
34.08875,460,60,33086,8,0.7006836,3,250577064,632424819,1194532,497742,0
35.08883,466,60,33240,8,0.7749023,3,250582386,633519059,1196583,497815,0
36.10556,492,60,35784,8,0.7976074,3,250587710,634698002,1198785,497891,0
37.10568,503,60,37447,8,0.8630371,2,250593090,635931304,1201090,497961,0
38.10572,525,60,37262,8,0.8500977,3,250598538,637159203,1203394,498037,0
39.10582,535,58,39169,8,0.9384766,3,250603863,638434036,1205784,498110,0
40.12259,539,57,38398,8,0.9851074,3,250609450,639696141,1208158,498190,0
